Location,sa3_code,Building Approvals - Value of total building ($M) 2016,Building Approvals - Value of private sector houses ($m) 2016,Estimated Resident Population - Persons - Total (2015),Population density (ERP at 30 June) (persons/km2) 2015, Total number of businesses  (2015),Total employed by Industry (no.) Census (2011),Estimates of Personal Income - Median employee income ($) 2013,Persons with Post School Qualifications - With Bachelor Degree (%) Census (2011),Access to Internet at Home - Proportion of all occupied private dwellings (%) Census (2011),Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%) Census 2011,Method of Travel to Work - Used one method - Train or tram (no.) 2011,Method of Travel to Work - Used one method - Bus (no.) 2011,Method of Travel to Work - Used one method - Car (as driver or passenger) (no.) 2011,Method of Travel to Work - Used one method - Walked only (no.) 2011
Hurstville,11903,613,127,127750,3764.1,11479,53464,46942,17.4,75.2,0.6,10842,591,29597,1419
Kogarah - Rockdale,11904,770,98,137976,4404.8,11984,57161,48028,15.8,72.9,0.5,10807,1147,31265,1817
Canada Bay,12001,235,77,87023,4413.6,9428,37893,57976,22.2,78.6,0.4,3151,3078,21608,1006
Leichhardt,12002,295,88,58758,5522.9,7287,30004,68966,29,81.4,1,682,5644,13130,1621
Strathfield - Burwood - Ashfield,12003,625,76,151536,4438.2,15300,67169,47760,21.4,76,0.6,15167,2775,31056,2358
Chatswood - Lane Cove,12101,629,183,113986,3435.6,16474,51433,60461,30,84.7,0.2,6530,6466,23046,3421
Hornsby,12102,403,76,83347,606.5,6768,38990,54989,22.2,83.9,0.5,7321,230,20091,1374
Ku-ring-gai,12103,742,247,123165,1439.9,13752,50431,59280,29.1,86.9,0.1,7395,770,27045,1160
North Sydney - Mosman,12104,621,212,101384,5346.4,18489,50289,66062,32.2,81.8,0.2,4621,8418,18782,5037
Manly,12201,117,67,45365,3165,5485,20664,59432,28.4,81.3,0.3,37,2571,9160,992
Pittwater,12202,150,108,64189,710.6,8779,28687,49489,18.2,83.4,0.4,50,1659,18536,899
Warringah,12203,825,226,156693,1049,16569,72284,53012,19.1,80.9,0.4,135,8245,44238,2286
Camden,12301,366,289,62270,842.3,4243,26958,55187,10.5,83.2,2,588,149,20089,299
Campbelltown (NSW),12302,734,294,160313,479.5,8208,65495,47829,8.5,74.2,3.2,6652,626,43145,916
Wollondilly,12303,159,126,40518,46.6,3289,17704,50554,8,76.9,2.5,311,58,12835,292
Blue Mountains,12401,131,112,79551,84.4,5227,35531,51475,16.2,78.4,1.7,2680,108,22203,905
Penrith,12403,599,274,7,383.9,9097,0,47297,0,0,0,0,0,0,0
Richmond - Windsor,12404,63,31,139475,212.3,3119,62063,49018,8.5,76.9,2.9,3394,486,43333,1062
St Marys,12405,97,25,37975,1718.3,2997,16890,41732,7.1,73.4,3.7,467,57,11799,625
Auburn,12501,710,42,56748,2686.9,8757,24748,49719,7,74.5,3.2,1316,210,17801,281
Carlingford,12502,418,46,88831,2661.5,5821,29158,44850,15.2,73.7,0.6,5956,260,16362,853
Merrylands - Guildford,12503,467,124,68368,2753.3,11715,27266,50000,18.9,78.9,0.7,1420,1143,17794,403
Parramatta,12504,921,77,153627,3104.1,13412,51735,56829,10.1,68.5,0.8,5401,1145,33542,958
Pennant Hills - Epping,12601,618,68,146163,2139.2,4320,58883,53259,19.4,77,0.8,8899,2596,32548,2863
Ryde - Hunters Hill,12602,1420,114,47502,2881.6,13149,21287,47325,26.6,85.8,0.3,4039,562,11226,512
Bringelly - Green Valley,12701,780,643,135897,339.3,6070,57923,42668,22.7,79.7,0.3,4939,5564,32728,2139
Fairfield,12702,468,151,96669,1545.6,13506,33315,49945,8,72.8,1.7,890,607,24084,377
Liverpool,12703,989,312,191314,950.5,8676,65185,53156,7.8,68.1,0.7,4240,1104,46121,1109
Cronulla - Miranda - Caringbah,12801,439,147,117703,2043.5,12227,43316,54941,11,72.2,1.3,3378,624,29276,1323
Sutherland - Menai - Heathcote,12802,213,87,113649,466.1,8424,53714,44287,14.6,77.3,0.8,4756,232,35162,1507
Ballarat,20101,405,233,111979,231.7,7921,56406,43379,14.5,82.7,0.8,5904,238,36137,808
Bendigo,20201,350,199,103879,323.2,6276,43325,45362,11.3,71,1.2,476,391,32014,1402
Geelong,20302,943,439,92888,204,13241,39203,43856,10.5,70.9,1.5,202,411,28932,1363
Wodonga - Alpine,20403,215,164,187417,5.1,6443,79092,48764,11.3,71.1,0.9,1697,1090,56849,2381
Brunswick - Coburg,20601,366,85,68240,4385.5,7007,30877,51757,9,71.7,1.5,28,190,21809,1745
Darebin - South,20602,189,88,89523,3864.2,4437,41518,53075,23.4,74.6,0.4,8460,281,18695,1278
Essendon,20603,286,110,54205,3719.8,6292,26022,46663,25.3,75.1,0.7,4756,331,11800,778
Melbourne City,20604,4247,51,67752,4087.7,34443,31385,56517,22.3,73.6,0.4,4889,185,17328,924
Port Phillip,20605,1010,144,128963,4183.7,19727,48768,53076,29.4,79.2,0.3,9902,521,13103,13435
Stonnington - West,20606,682,164,107142,5432.6,11608,54941,53692,29.5,77.9,0.3,11529,579,25052,4030
Yarra,20607,632,118,64779,4363,14011,30795,53382,31.2,78,0.3,6693,396,13454,2584
Boroondara,20701,1066,700,89945,2912.2,24348,43448,47067,30.3,76.8,0.4,8920,554,15822,4934
Manningham - West,20702,583,164,174787,1909.3,9650,80295,48688,28.9,83.1,0.1,10950,1115,45032,2749
Whitehorse - West,20703,832,220,92930,2735,9844,40006,55261,20.5,79.5,0.1,402,2946,27831,481
Bayside,20801,645,350,104077,2722.9,12781,43911,50821,22.1,77.9,0.2,4061,914,26299,1273
Glen Eira,20802,725,260,101321,3787.6,15495,43737,51525,24.3,80.4,0.2,3924,266,27090,1030
Kingston,20803,559,155,154158,1701.9,12778,69505,53376,24.3,78.1,0.2,9384,690,40691,1645
Stonnington - East,20804,427,117,118899,3144.8,5499,54606,51241,15.7,75.5,0.3,4248,475,36979,1051
Banyule,20901,654,165,43162,2016,10146,20143,45093,29,82,0.1,3212,104,11263,650
